id,name,score1,score2
214,Student_214,88,76
215,Student_215,70,59
216,Student_216,59,97
217,Student_217,56,83
218,Student_218,77,72
219,Student_219,51,85
220,Student_220,53,91
221,Student_221,68,91
222,Student_222,50,90
223,Student_223,86,86
224,Student_224,94,92
225,Student_225,75,68
226,Student_226,51,62
227,Student_227,50,63
228,Student_228,83,55
229,Student_229,77,84
230,Student_230,94,54
231,Student_231,58,94
232,Student_232,56,89
233,Student_233,53,100
234,Student_234,51,54
235,Student_235,66,75
236,Student_236,71,62
237,Student_237,95,67
238,Student_238,95,75
239,Student_239,59,65
240,Student_240,73,70
241,Student_241,68,63
242,Student_242,81,75
243,Student_243,57,97
244,Student_244,88,75
245,Student_245,60,78
246,Student_246,84,52
247,Student_247,57,76
248,Student_248,93,91
249,Student_249,93,53
250,Student_250,61,67
251,Student_251,59,97
252,Student_252,50,72
253,Student_253,75,65
254,Student_254,88,76
255,Student_255,54,50
256,Student_256,77,90
257,Student_257,77,51
258,Student_258,95,66
259,Student_259,66,71
260,Student_260,97,50
261,Student_261,76,55
262,Student_262,71,69
263,Student_263,66,63
264,Student_264,82,98
265,Student_265,68,56
266,Student_266,100,74
267,Student_267,64,88
268,Student_268,58,96
269,Student_269,91,50
270,Student_270,100,58
271,Student_271,99,55
272,Student_272,56,50
273,Student_273,91,65
274,Student_274,62,56
275,Student_275,93,54
276,Student_276,51,66
277,Student_277,78,81
278,Student_278,92,63
279,Student_279,62,98
280,Student_280,58,97
281,Student_281,98,78
282,Student_282,55,91
283,Student_283,91,78
284,Student_284,87,54
285,Student_285,71,79
286,Student_286,74,95
287,Student_287,54,98
288,Student_288,76,95
289,Student_289,54,90
290,Student_290,62,69
291,Student_291,66,91
292,Student_292,85,83
293,Student_293,82,90
294,Student_294,77,78
295,Student_295,51,66
296,Student_296,88,70
297,Student_297,55,65
298,Student_298,94,61
299,Student_299,100,58
300,Student_300,61,55
301,Student_301,70,83
302,Student_302,73,71
303,Student_303,100,98
304,Student_304,95,80
305,Student_305,65,95
306,Student_306,54,55
307,Student_307,74,62
308,Student_308,64,63
309,Student_309,94,61
310,Student_310,51,68
311,Student_311,98,79
312,Student_312,55,84
313,Student_313,94,84
314,Student_314,65,52
315,Student_315,58,81
316,Student_316,61,92
317,Student_317,66,81
318,Student_318,95,58
319,Student_319,85,52
320,Student_320,85,73
321,Student_321,58,71
322,Student_322,90,100
323,Student_323,76,61
324,Student_324,87,72
325,Student_325,60,52
326,Student_326,60,85
327,Student_327,56,58
328,Student_328,85,87
329,Student_329,83,56
330,Student_330,60,83
331,Student_331,53,96
332,Student_332,97,78
333,Student_333,84,90
334,Student_334,87,85
335,Student_335,59,90
336,Student_336,80,67
337,Student_337,98,84
338,Student_338,53,53
339,Student_339,90,87
340,Student_340,92,64
341,Student_341,80,77
342,Student_342,81,85
343,Student_343,65,81
344,Student_344,88,92
345,Student_345,69,84
346,Student_346,99,73
347,Student_347,76,61
348,Student_348,92,56
349,Student_349,88,88
350,Student_350,58,65
351,Student_351,95,69
352,Student_352,67,56
353,Student_353,65,74
354,Student_354,75,89
355,Student_355,76,64
356,Student_356,91,79
357,Student_357,98,75
358,Student_358,53,68
359,Student_359,55,61
360,Student_360,70,78
361,Student_361,61,70
362,Student_362,92,79
363,Student_363,81,93
364,Student_364,59,94
365,Student_365,99,80
366,Student_366,64,88
367,Student_367,68,100
368,Student_368,77,85
369,Student_369,93,64
370,Student_370,70,60
371,Student_371,77,73
372,Student_372,88,96
373,Student_373,67,66
374,Student_374,99,67
375,Student_375,78,71
376,Student_376,74,74
377,Student_377,58,56
378,Student_378,85,55
379,Student_379,84,95
380,Student_380,87,63
381,Student_381,57,80
382,Student_382,51,73
383,Student_383,89,77
384,Student_384,92,60
385,Student_385,63,69
386,Student_386,62,64
387,Student_387,71,99
388,Student_388,75,62
389,Student_389,79,75
390,Student_390,99,84
391,Student_391,94,69
392,Student_392,83,84
393,Student_393,73,52
394,Student_394,81,62
395,Student_395,53,55
396,Student_396,99,54
397,Student_397,74,51
398,Student_398,84,64
399,Student_399,54,69
400,Student_400,59,62
401,Student_401,50,50
402,Student_402,63,80
403,Student_403,76,85
404,Student_404,82,50
405,Student_405,88,63
406,Student_406,59,63
407,Student_407,97,85
408,Student_408,56,83
409,Student_409,59,90
410,Student_410,94,82
411,Student_411,92,71
412,Student_412,90,93
413,Student_413,67,93
414,Student_414,84,85
415,Student_415,76,61
416,Student_416,50,54
417,Student_417,57,71
418,Student_418,89,86
419,Student_419,100,81
420,Student_420,65,83
421,Student_421,64,90
422,Student_422,78,70
423,Student_423,91,79
424,Student_424,78,62
425,Student_425,86,87
426,Student_426,83,63
427,Student_427,69,58
428,Student_428,89,84
429,Student_429,63,83
430,Student_430,85,95
431,Student_431,61,98
432,Student_432,68,77
433,Student_433,90,55
434,Student_434,51,76
435,Student_435,100,93
436,Student_436,97,73
437,Student_437,52,58
438,Student_438,84,53
439,Student_439,92,100
440,Student_440,55,52
441,Student_441,54,90
442,Student_442,85,97
443,Student_443,79,95
444,Student_444,95,60
445,Student_445,86,99
446,Student_446,68,87
447,Student_447,64,67
448,Student_448,58,80
449,Student_449,65,69
450,Student_450,86,82
451,Student_451,84,63
452,Student_452,88,65
453,Student_453,84,88
454,Student_454,90,67
455,Student_455,96,100
456,Student_456,79,91
457,Student_457,92,58
458,Student_458,86,80
459,Student_459,59,54
460,Student_460,100,100
461,Student_461,66,58
462,Student_462,75,94
463,Student_463,52,57
464,Student_464,82,93
465,Student_465,85,66
466,Student_466,70,75
467,Student_467,85,69
468,Student_468,94,81
469,Student_469,100,94
470,Student_470,53,70
471,Student_471,85,56
472,Student_472,68,64
473,Student_473,77,76
474,Student_474,59,68
475,Student_475,82,97
476,Student_476,65,59
477,Student_477,100,100
478,Student_478,93,85
479,Student_479,82,58
480,Student_480,58,72
481,Student_481,97,83
482,Student_482,100,100
483,Student_483,96,58
484,Student_484,91,85
485,Student_485,50,98
486,Student_486,89,67
487,Student_487,80,92
488,Student_488,51,62
489,Student_489,68,70
490,Student_490,96,60
491,Student_491,87,63
492,Student_492,61,66
493,Student_493,52,70
494,Student_494,69,83
495,Student_495,63,94
496,Student_496,64,54
497,Student_497,74,62
498,Student_498,83,87
499,Student_499,58,70
500,Student_500,100,67
501,Student_501,98,78
502,Student_502,77,63
503,Student_503,100,82
504,Student_504,70,74
505,Student_505,88,62
506,Student_506,78,61
507,Student_507,61,61
508,Student_508,76,62
509,Student_509,73,52
510,Student_510,99,85
511,Student_511,63,74
512,Student_512,67,99
513,Student_513,78,64
514,Student_514,53,60
515,Student_515,95,95
516,Student_516,89,65
517,Student_517,88,80
518,Student_518,92,51
519,Student_519,65,72
520,Student_520,56,65
521,Student_521,99,52
522,Student_522,82,83
523,Student_523,67,99
524,Student_524,93,82
525,Student_525,61,62
526,Student_526,96,79
527,Student_527,85,77
528,Student_528,51,53
529,Student_529,73,66
530,Student_530,81,61
531,Student_531,85,68
532,Student_532,63,65
533,Student_533,52,92
534,Student_534,52,68
535,Student_535,77,84
536,Student_536,65,57
537,Student_537,56,56
538,Student_538,59,53
539,Student_539,67,70
540,Student_540,99,77
541,Student_541,96,60
542,Student_542,75,100
543,Student_543,98,87
544,Student_544,50,69
545,Student_545,97,87
546,Student_546,68,59
547,Student_547,78,89
548,Student_548,54,94
549,Student_549,88,96
550,Student_550,90,66
551,Student_551,84,69
552,Student_552,90,53
553,Student_553,51,95
554,Student_554,73,97
555,Student_555,70,70
556,Student_556,69,90
557,Student_557,93,75
558,Student_558,95,95
559,Student_559,96,61
560,Student_560,78,72
561,Student_561,71,57
562,Student_562,51,67
563,Student_563,83,54
564,Student_564,52,66
565,Student_565,97,99
566,Student_566,98,97
567,Student_567,57,52
568,Student_568,84,90
569,Student_569,99,89
570,Student_570,65,83
571,Student_571,87,53
572,Student_572,59,86
573,Student_573,68,90
574,Student_574,89,50
575,Student_575,100,62
576,Student_576,69,72
577,Student_577,71,65
578,Student_578,66,94
579,Student_579,81,56
580,Student_580,99,92
581,Student_581,59,50
582,Student_582,75,94
583,Student_583,82,88
584,Student_584,100,76
585,Student_585,88,64
586,Student_586,99,74
587,Student_587,91,69
588,Student_588,66,82
589,Student_589,93,99
590,Student_590,75,77
591,Student_591,83,67
592,Student_592,88,99
593,Student_593,60,100
594,Student_594,68,94
595,Student_595,59,52
596,Student_596,85,58
597,Student_597,68,60
598,Student_598,70,70
599,Student_599,78,81
600,Student_600,62,53
601,Student_601,96,91
602,Student_602,83,83
603,Student_603,77,85
604,Student_604,75,96
605,Student_605,78,59
606,Student_606,74,80
607,Student_607,50,62
608,Student_608,99,74
609,Student_609,82,70
610,Student_610,59,75
611,Student_611,92,66
612,Student_612,71,86
613,Student_613,86,83
614,Student_614,87,92
615,Student_615,92,90
616,Student_616,64,88
617,Student_617,68,58
618,Student_618,89,59
619,Student_619,92,70
620,Student_620,71,83
621,Student_621,83,57
622,Student_622,96,79
623,Student_623,66,86
624,Student_624,73,69
625,Student_625,58,54
626,Student_626,70,100
627,Student_627,96,97
628,Student_628,84,95
629,Student_629,55,60
630,Student_630,76,99
631,Student_631,59,90
632,Student_632,97,60
633,Student_633,92,73
634,Student_634,100,98
635,Student_635,78,94
636,Student_636,68,95
637,Student_637,63,79
638,Student_638,69,65
639,Student_639,97,84
640,Student_640,98,94
641,Student_641,56,81
642,Student_642,81,75
643,Student_643,56,69
644,Student_644,66,56
645,Student_645,74,69
646,Student_646,61,53
647,Student_647,59,79
648,Student_648,79,95
649,Student_649,90,83
650,Student_650,50,83
651,Student_651,92,74
652,Student_652,89,75
653,Student_653,74,63
654,Student_654,75,50
655,Student_655,67,66
656,Student_656,66,88
657,Student_657,57,76
658,Student_658,60,79
659,Student_659,57,99
660,Student_660,86,95
661,Student_661,71,74
662,Student_662,79,68
663,Student_663,91,92
664,Student_664,78,69
665,Student_665,79,72
666,Student_666,72,64
667,Student_667,97,82
668,Student_668,78,92
669,Student_669,82,91
670,Student_670,60,77
671,Student_671,76,78
672,Student_672,67,56
673,Student_673,99,69
674,Student_674,97,89
675,Student_675,74,60
676,Student_676,50,84
677,Student_677,98,72
678,Student_678,83,63
679,Student_679,89,94
680,Student_680,93,55
681,Student_681,69,58
682,Student_682,50,73
683,Student_683,66,79
684,Student_684,58,75
685,Student_685,66,56
686,Student_686,83,69
687,Student_687,86,75
688,Student_688,51,83
689,Student_689,95,89
690,Student_690,67,80
691,Student_691,96,100
692,Student_692,73,74
693,Student_693,92,99
694,Student_694,98,73
695,Student_695,78,93
696,Student_696,69,62
697,Student_697,85,78
698,Student_698,92,65
699,Student_699,54,96
700,Student_700,85,73
701,Student_701,87,100
702,Student_702,92,81
703,Student_703,73,87
704,Student_704,56,96
705,Student_705,100,82
706,Student_706,61,93
707,Student_707,58,56
708,Student_708,78,92
709,Student_709,70,84
710,Student_710,59,66
711,Student_711,56,72
712,Student_712,96,96
713,Student_713,57,77
714,Student_714,94,71
715,Student_715,71,76
716,Student_716,89,68
717,Student_717,90,94
718,Student_718,89,76
719,Student_719,65,71
720,Student_720,53,78
721,Student_721,50,86
722,Student_722,55,73
723,Student_723,64,77
724,Student_724,60,59
725,Student_725,100,93
726,Student_726,54,79
727,Student_727,91,81
728,Student_728,64,93
729,Student_729,78,50
730,Student_730,95,100
731,Student_731,81,74
732,Student_732,59,77
733,Student_733,78,61
734,Student_734,80,80
735,Student_735,100,77
736,Student_736,87,50
737,Student_737,66,83
738,Student_738,96,52
739,Student_739,80,100
740,Student_740,61,73
741,Student_741,67,74
742,Student_742,73,81
743,Student_743,78,86
744,Student_744,54,77
745,Student_745,60,96
746,Student_746,69,54
747,Student_747,92,89
748,Student_748,85,92
749,Student_749,60,94
750,Student_750,66,91
751,Student_751,66,100
752,Student_752,66,89
753,Student_753,85,85
754,Student_754,92,61
755,Student_755,97,86
756,Student_756,78,74
757,Student_757,61,81
758,Student_758,73,88
759,Student_759,72,94
760,Student_760,88,95
761,Student_761,61,55
762,Student_762,60,76
763,Student_763,90,61
764,Student_764,98,62
765,Student_765,61,58
766,Student_766,53,59
767,Student_767,77,60
768,Student_768,78,93
769,Student_769,83,80
770,Student_770,65,60
771,Student_771,75,84
772,Student_772,87,87
773,Student_773,60,76
774,Student_774,72,64
775,Student_775,94,55
776,Student_776,75,73
777,Student_777,80,61
778,Student_778,63,96
779,Student_779,83,88
780,Student_780,55,65
781,Student_781,74,55
782,Student_782,63,91
783,Student_783,99,54
784,Student_784,76,72
785,Student_785,95,100
786,Student_786,80,95
787,Student_787,93,53
788,Student_788,88,75
789,Student_789,54,76
790,Student_790,97,60
791,Student_791,53,79
792,Student_792,85,99
793,Student_793,90,54
794,Student_794,59,89
795,Student_795,74,59
796,Student_796,64,89
797,Student_797,94,93
798,Student_798,63,50
799,Student_799,96,50
800,Student_800,59,50
801,Student_801,98,86
802,Student_802,77,58
803,Student_803,69,80
804,Student_804,69,50
805,Student_805,70,84
806,Student_806,70,57
807,Student_807,56,55
808,Student_808,80,77
809,Student_809,95,91
810,Student_810,53,69
811,Student_811,51,96
812,Student_812,89,62
813,Student_813,57,79
814,Student_814,86,85
815,Student_815,61,90
816,Student_816,63,76
817,Student_817,58,63
818,Student_818,63,71
819,Student_819,98,77
820,Student_820,57,76
821,Student_821,85,82
822,Student_822,64,76
823,Student_823,83,96
824,Student_824,88,58
825,Student_825,66,74
826,Student_826,83,83
827,Student_827,86,53
828,Student_828,50,69
829,Student_829,56,77
830,Student_830,56,93
831,Student_831,59,60
832,Student_832,75,64
833,Student_833,64,50
834,Student_834,52,85
835,Student_835,77,65
836,Student_836,90,90
837,Student_837,91,54
838,Student_838,70,82
839,Student_839,79,59
840,Student_840,66,67
841,Student_841,63,51
842,Student_842,93,92
843,Student_843,60,87
844,Student_844,85,67
845,Student_845,82,75
846,Student_846,75,89
847,Student_847,52,55
848,Student_848,93,63
849,Student_849,84,90
850,Student_850,69,93
851,Student_851,85,57
852,Student_852,80,93
853,Student_853,82,81
854,Student_854,95,95
855,Student_855,84,73
856,Student_856,86,62
857,Student_857,79,99
858,Student_858,80,73
859,Student_859,64,59
860,Student_860,88,56
861,Student_861,86,54
862,Student_862,73,76
863,Student_863,62,71
864,Student_864,75,80
865,Student_865,68,67
866,Student_866,91,72
867,Student_867,57,99
868,Student_868,79,78
869,Student_869,78,86
870,Student_870,64,66
871,Student_871,62,83
872,Student_872,70,77
873,Student_873,74,74
874,Student_874,77,100
875,Student_875,55,93
876,Student_876,85,73
877,Student_877,54,78
878,Student_878,72,77
879,Student_879,83,66
880,Student_880,50,88
881,Student_881,99,53
882,Student_882,60,57
883,Student_883,94,88
884,Student_884,68,55
885,Student_885,92,83
886,Student_886,65,80
887,Student_887,94,59
888,Student_888,87,69
889,Student_889,100,98
890,Student_890,54,83
891,Student_891,51,66
892,Student_892,57,56
893,Student_893,92,92
894,Student_894,59,86
895,Student_895,86,50
896,Student_896,69,75
897,Student_897,78,98
898,Student_898,82,80
899,Student_899,93,71
900,Student_900,57,84
901,Student_901,56,69
902,Student_902,83,97
903,Student_903,53,96
904,Student_904,97,50
905,Student_905,66,86
906,Student_906,93,71
907,Student_907,95,99
908,Student_908,62,74
909,Student_909,50,73
910,Student_910,84,56
911,Student_911,80,56
912,Student_912,90,98
913,Student_913,66,91
914,Student_914,82,85
915,Student_915,65,83
916,Student_916,70,84
917,Student_917,57,77
918,Student_918,88,78
919,Student_919,72,92
920,Student_920,56,91
921,Student_921,59,85
922,Student_922,74,61
923,Student_923,99,98
924,Student_924,57,94
925,Student_925,87,57
926,Student_926,75,94
927,Student_927,67,88
928,Student_928,79,89
929,Student_929,55,61
930,Student_930,81,74
931,Student_931,56,82
932,Student_932,57,86
933,Student_933,87,98
934,Student_934,92,51
935,Student_935,99,75
936,Student_936,89,70
937,Student_937,57,81
938,Student_938,66,91
939,Student_939,61,80
940,Student_940,59,51
941,Student_941,58,54
942,Student_942,52,79
943,Student_943,71,88
944,Student_944,79,50
945,Student_945,63,66
946,Student_946,94,50
947,Student_947,54,89
948,Student_948,86,84
949,Student_949,66,58
950,Student_950,58,68
951,Student_951,80,82
952,Student_952,63,59
953,Student_953,97,60
954,Student_954,52,78
955,Student_955,52,94
956,Student_956,69,72
957,Student_957,68,64
958,Student_958,87,76
959,Student_959,58,88
960,Student_960,83,93
961,Student_961,74,88
962,Student_962,99,68
963,Student_963,73,90
964,Student_964,63,75
965,Student_965,79,56
966,Student_966,57,73
967,Student_967,57,100
968,Student_968,54,96
969,Student_969,95,55
970,Student_970,74,77
971,Student_971,56,66
972,Student_972,65,84
973,Student_973,59,88
974,Student_974,86,78
975,Student_975,55,58
976,Student_976,90,57
977,Student_977,89,56
978,Student_978,61,98
979,Student_979,80,50
980,Student_980,66,68
981,Student_981,95,76
982,Student_982,62,68
983,Student_983,81,72
984,Student_984,80,100
985,Student_985,52,57
986,Student_986,87,50
987,Student_987,98,82
988,Student_988,95,52
989,Student_989,68,87
990,Student_990,50,78
991,Student_991,76,94
992,Student_992,52,57
993,Student_993,72,67
994,Student_994,82,51
995,Student_995,83,100
996,Student_996,80,71
997,Student_997,82,59
998,Student_998,60,98
999,Student_999,75,71
1000,Student_1000,59,54
1001,Student_1001,99,68
1002,Student_1002,82,87
1003,Student_1003,56,99
1004,Student_1004,76,78
1005,Student_1005,93,84
1006,Student_1006,88,71
1007,Student_1007,76,59
1008,Student_1008,63,100
1009,Student_1009,52,66
1010,Student_1010,62,50
1011,Student_1011,58,51
1012,Student_1012,89,74
1013,Student_1013,68,61
1014,Student_1014,53,50
1015,Student_1015,97,96
1016,Student_1016,88,71
1017,Student_1017,56,77
1018,Student_1018,91,70
1019,Student_1019,66,54
1020,Student_1020,80,64
1021,Student_1021,50,51
1022,Student_1022,88,86
1023,Student_1023,89,67
1024,Student_1024,95,74
1025,Student_1025,92,51
1026,Student_1026,61,75
1027,Student_1027,58,61
1028,Student_1028,70,75
1029,Student_1029,100,65
1030,Student_1030,63,95
1031,Student_1031,82,54
1032,Student_1032,98,93
1033,Student_1033,82,86
1034,Student_1034,65,96
1035,Student_1035,59,58
1036,Student_1036,82,54
1037,Student_1037,57,98
1038,Student_1038,73,96
1039,Student_1039,61,57
1040,Student_1040,95,59
1041,Student_1041,82,62
1042,Student_1042,81,74
1043,Student_1043,95,51
1044,Student_1044,81,60
1045,Student_1045,51,83
1046,Student_1046,59,70
1047,Student_1047,97,79
1048,Student_1048,63,100
1049,Student_1049,74,61
1050,Student_1050,99,89
1051,Student_1051,97,53
1052,Student_1052,74,95
1053,Student_1053,66,98
1054,Student_1054,67,60
1055,Student_1055,92,53
1056,Student_1056,50,75
1057,Student_1057,58,92
1058,Student_1058,99,83
1059,Student_1059,97,74
1060,Student_1060,80,73
1061,Student_1061,59,54
1062,Student_1062,78,98
1063,Student_1063,67,83
1064,Student_1064,69,74
1065,Student_1065,83,73
1066,Student_1066,50,64
1067,Student_1067,64,100
1068,Student_1068,59,54
1069,Student_1069,80,80
1070,Student_1070,95,50
1071,Student_1071,60,86
1072,Student_1072,74,75
1073,Student_1073,76,70
1074,Student_1074,62,74
1075,Student_1075,50,95
1076,Student_1076,85,93
1077,Student_1077,82,100
1078,Student_1078,55,57
1079,Student_1079,81,56
1080,Student_1080,62,64
1081,Student_1081,55,94
1082,Student_1082,95,90
1083,Student_1083,61,67
1084,Student_1084,89,70
1085,Student_1085,65,94
1086,Student_1086,85,65
1087,Student_1087,65,54
1088,Student_1088,78,85
1089,Student_1089,54,95
1090,Student_1090,97,90
1091,Student_1091,93,51
1092,Student_1092,91,64
1093,Student_1093,98,58
1094,Student_1094,71,58
1095,Student_1095,68,57
1096,Student_1096,93,93
1097,Student_1097,61,59
1098,Student_1098,79,62
1099,Student_1099,57,72
1100,Student_1100,93,52
1101,Student_1101,80,84
1102,Student_1102,77,62
1103,Student_1103,83,70
1104,Student_1104,55,95
1105,Student_1105,81,76
1106,Student_1106,90,72
1107,Student_1107,72,50
1108,Student_1108,62,51
1109,Student_1109,95,75
1110,Student_1110,85,66
1111,Student_1111,95,53
1112,Student_1112,70,55
1113,Student_1113,73,98
1114,Student_1114,80,53
1115,Student_1115,61,88
1116,Student_1116,72,87
1117,Student_1117,97,83
1118,Student_1118,65,53
1119,Student_1119,62,55
1120,Student_1120,85,55
1121,Student_1121,50,72
1122,Student_1122,50,55
1123,Student_1123,91,71
1124,Student_1124,70,55
1125,Student_1125,99,66
1126,Student_1126,65,66
1127,Student_1127,75,71
1128,Student_1128,70,82
1129,Student_1129,74,79
1130,Student_1130,96,56
1131,Student_1131,66,65
1132,Student_1132,80,73
1133,Student_1133,77,56
1134,Student_1134,70,96
1135,Student_1135,63,52
1136,Student_1136,65,69
1137,Student_1137,77,76
1138,Student_1138,59,63
1139,Student_1139,69,71
1140,Student_1140,95,83
1141,Student_1141,63,70
1142,Student_1142,86,57
1143,Student_1143,90,69
1144,Student_1144,73,71
1145,Student_1145,69,87
1146,Student_1146,63,73
1147,Student_1147,54,88
1148,Student_1148,86,60
1149,Student_1149,88,70
1150,Student_1150,58,50
1151,Student_1151,54,89
1152,Student_1152,51,63
1153,Student_1153,50,52
1154,Student_1154,53,69
1155,Student_1155,97,86
1156,Student_1156,81,99
1157,Student_1157,75,86
1158,Student_1158,50,89
1159,Student_1159,98,73
1160,Student_1160,59,86
1161,Student_1161,56,76
1162,Student_1162,94,85
1163,Student_1163,66,89
1164,Student_1164,77,62
1165,Student_1165,83,75
1166,Student_1166,81,91
1167,Student_1167,57,99
1168,Student_1168,93,80
1169,Student_1169,89,76
1170,Student_1170,55,54
1171,Student_1171,55,63
1172,Student_1172,61,71
1173,Student_1173,53,51
1174,Student_1174,60,84
1175,Student_1175,56,73
1176,Student_1176,78,71
1177,Student_1177,89,79
1178,Student_1178,58,62
1179,Student_1179,81,84
1180,Student_1180,88,64
1181,Student_1181,68,88
1182,Student_1182,71,61
1183,Student_1183,59,69
1184,Student_1184,70,63
1185,Student_1185,88,83
1186,Student_1186,64,73
1187,Student_1187,63,55
1188,Student_1188,74,73
1189,Student_1189,88,70
1190,Student_1190,51,74
1191,Student_1191,73,90
1192,Student_1192,58,78
1193,Student_1193,65,57
1194,Student_1194,63,86
1195,Student_1195,74,68
1196,Student_1196,89,71
1197,Student_1197,51,77
1198,Student_1198,80,95
1199,Student_1199,88,93
1200,Student_1200,88,90
1201,Student_1201,90,67
1202,Student_1202,65,63
1203,Student_1203,93,68
1204,Student_1204,64,77
1205,Student_1205,80,74
1206,Student_1206,63,61
1207,Student_1207,62,55
1208,Student_1208,75,92
1209,Student_1209,54,56
1210,Student_1210,73,75
1211,Student_1211,58,74
1212,Student_1212,92,95
1213,Student_1213,90,69
1214,Student_1214,75,62
1215,Student_1215,75,93
1216,Student_1216,96,59
1217,Student_1217,96,76
1218,Student_1218,91,71
1219,Student_1219,64,83
1220,Student_1220,52,88
1221,Student_1221,96,57
1222,Student_1222,89,89
1223,Student_1223,50,74
1224,Student_1224,85,79
1225,Student_1225,55,65
1226,Student_1226,83,51
1227,Student_1227,51,67
1228,Student_1228,53,50
1229,Student_1229,75,55
